Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs
0,2.25,0.02,500,100000.0,17.15,2.43,0.81
1,2.25,0.02,501,100000.0,17.15,2.43,0.81
2,2.25,0.02,502,100000.0,17.15,2.43,0.81
3,2.25,0.02,503,100000.0,17.15,2.43,0.81
4,2.25,0.02,504,100000.0,17.15,2.43,0.81
5,2.25,0.02,505,100000.0,17.15,2.43,0.81
6,2.25,0.02,506,100000.0,17.15,2.43,0.81
7,2.25,0.02,507,100000.0,17.15,2.43,0.81
8,2.25,0.02,508,100000.0,17.15,2.43,0.81
9,2.25,0.02,509,100000.0,17.15,2.43,0.81
10,2.25,0.02,510,100000.0,17.15,2.43,0.81
11,2.25,0.02,511,100000.0,17.15,2.43,0.81
12,2.25,0.02,512,100000.0,17.15,2.43,0.81
13,2.25,0.02,513,100000.0,17.15,2.43,0.81
14,2.25,0.02,514,100000.0,17.15,2.43,0.81
15,2.25,0.02,515,100000.0,17.15,2.43,0.81
16,2.25,0.02,516,100000.0,17.15,2.43,0.81
17,2.25,0.02,517,100000.0,17.15,2.43,0.81
18,2.25,0.02,518,100000.0,17.15,2.43,0.81
19,2.25,0.02,519,100000.0,17.15,2.43,0.81
20,2.25,0.02,520,100000.0,17.15,2.43,0.81
21,2.25,0.02,521,100000.0,17.15,2.43,0.81
22,2.25,0.02,522,100000.0,17.15,2.43,0.81
23,2.25,0.02,523,100000.0,17.15,2.43,0.81
24,2.25,0.02,524,100000.0,17.15,2.43,0.81
25,2.25,0.02,525,100000.0,17.15,2.43,0.81
26,2.25,0.02,526,100000.0,17.15,2.43,0.81
27,2.25,0.02,527,100000.0,17.15,2.43,0.81
28,2.25,0.02,528,100000.0,17.15,2.43,0.81
29,2.25,0.02,529,100000.0,17.15,2.43,0.81
30,2.25,0.02,530,100000.0,17.15,2.43,0.81
31,2.25,0.02,531,100000.0,17.15,2.43,0.81
32,2.25,0.02,532,100000.0,17.15,2.43,0.81
33,2.25,0.02,533,100000.0,17.15,2.43,0.81
34,2.25,0.02,534,100000.0,17.15,2.43,0.81
35,2.25,0.02,535,100000.0,17.15,2.43,0.81
36,2.25,0.02,536,100000.0,17.15,2.43,0.81
37,2.25,0.02,537,100000.0,17.15,2.43,0.81
38,2.25,0.02,538,100000.0,17.15,2.43,0.81
39,2.25,0.02,539,100000.0,17.15,2.43,0.81
40,2.25,0.02,540,100000.0,17.15,2.43,0.81
41,2.25,0.02,541,100000.0,17.15,2.43,0.81
42,2.25,0.02,542,100000.0,17.15,2.43,0.81
43,2.25,0.02,543,100000.0,17.15,2.43,0.81
44,2.25,0.02,544,100000.0,17.15,2.43,0.81
45,2.25,0.02,545,100000.0,17.15,2.43,0.81
46,2.25,0.02,546,100000.0,17.15,2.43,0.81
47,2.25,0.02,547,100000.0,17.15,2.43,0.81
48,2.25,0.02,548,100000.0,17.15,2.43,0.81
49,2.25,0.02,549,100000.0,17.15,2.43,0.81
50,2.25,0.02,550,100000.0,17.15,2.43,0.81
51,2.25,0.02,551,100000.0,17.15,2.43,0.81
52,2.25,0.02,552,100000.0,17.15,2.43,0.81
53,2.25,0.02,553,100000.0,17.15,2.43,0.81
54,2.25,0.02,554,100000.0,17.15,2.43,0.81
55,2.25,0.02,555,100000.0,17.15,2.43,0.81
56,2.25,0.02,556,100000.0,17.15,2.43,0.81
57,2.25,0.02,557,100000.0,17.15,2.43,0.81
58,2.25,0.02,558,100000.0,17.15,2.43,0.81
59,2.25,0.02,559,100000.0,17.15,2.43,0.81
60,2.25,0.02,560,100000.0,17.15,2.43,0.81
61,2.25,0.02,561,100000.0,17.15,2.43,0.81
62,2.25,0.02,562,100000.0,17.15,2.43,0.81
63,2.25,0.02,563,100000.0,17.15,2.43,0.81
64,2.25,0.02,564,100000.0,17.15,2.43,0.81
65,2.25,0.02,565,100000.0,17.15,2.43,0.81
66,2.25,0.02,566,100000.0,17.15,2.43,0.81
67,2.25,0.02,567,100000.0,17.15,2.43,0.81
68,2.25,0.02,568,100000.0,17.15,2.43,0.81
69,2.25,0.02,569,100000.0,17.15,2.43,0.81
70,2.25,0.02,570,100000.0,17.15,2.43,0.81
71,2.25,0.02,571,100000.0,17.15,2.43,0.81
72,2.25,0.02,572,100000.0,17.15,2.43,0.81
73,2.25,0.02,573,100000.0,17.15,2.43,0.81
74,2.25,0.02,574,100000.0,17.15,2.43,0.81
75,2.25,0.02,575,100000.0,17.15,2.43,0.81
76,2.25,0.02,576,100000.0,17.15,2.43,0.81
77,2.25,0.02,577,100000.0,17.15,2.43,0.81
78,2.25,0.02,578,100000.0,17.15,2.43,0.81
79,2.25,0.02,579,100000.0,17.15,2.43,0.81
80,2.25,0.02,580,100000.0,17.15,2.43,0.81
81,2.25,0.02,581,100000.0,17.15,2.43,0.81
82,2.25,0.02,582,100000.0,17.15,2.43,0.81
83,2.25,0.02,583,100000.0,17.15,2.43,0.81
84,2.25,0.02,584,100000.0,17.15,2.43,0.81
85,2.25,0.02,585,100000.0,17.15,2.43,0.81
86,2.25,0.02,586,100000.0,17.15,2.43,0.81
87,2.25,0.02,587,100000.0,17.15,2.43,0.81
88,2.25,0.02,588,100000.0,17.15,2.43,0.81
89,2.25,0.02,589,100000.0,17.15,2.43,0.81
90,2.25,0.02,590,100000.0,17.15,2.43,0.81
91,2.25,0.02,591,100000.0,17.15,2.43,0.81
92,2.25,0.02,592,100000.0,17.15,2.43,0.81
93,2.25,0.02,593,100000.0,17.15,2.43,0.81
94,2.25,0.02,594,100000.0,17.15,2.43,0.81
95,2.25,0.02,595,100000.0,17.15,2.43,0.81
96,2.25,0.02,596,100000.0,17.15,2.43,0.81
97,2.25,0.02,597,100000.0,17.15,2.43,0.81
98,2.25,0.02,598,100000.0,17.15,2.43,0.81
99,2.25,0.02,599,100000.0,17.15,2.43,0.81
100,2.25,0.02,600,100000.0,17.15,2.43,0.81
101,2.25,0.02,601,100000.0,17.15,2.43,0.81
102,2.25,0.02,602,100000.0,17.15,2.43,0.81
103,2.25,0.02,603,100000.0,17.15,2.43,0.81
104,2.25,0.02,604,100000.0,17.15,2.43,0.81
105,2.25,0.02,605,100000.0,17.15,2.43,0.81
106,2.25,0.02,606,100000.0,17.15,2.43,0.81
107,2.25,0.02,607,100000.0,17.15,2.43,0.81
108,2.25,0.02,608,100000.0,17.15,2.43,0.81
109,2.25,0.02,609,100000.0,17.15,2.43,0.81
110,2.25,0.02,610,100000.0,17.15,2.43,0.81
111,2.25,0.02,611,100000.0,17.15,2.43,0.81
112,2.25,0.02,612,100000.0,17.15,2.43,0.81
113,2.25,0.02,613,100000.0,17.15,2.43,0.81
114,2.25,0.02,614,100000.0,17.15,2.43,0.81
115,2.25,0.02,615,100000.0,17.15,2.43,0.81
116,2.25,0.02,616,100000.0,17.15,2.43,0.81
117,2.25,0.02,617,100000.0,17.15,2.43,0.81
118,2.25,0.02,618,100000.0,17.15,2.43,0.81
119,2.25,0.02,619,100000.0,17.15,2.43,0.81
120,2.25,0.02,620,100000.0,17.15,2.43,0.81
121,2.25,0.02,621,100000.0,17.15,2.43,0.81
122,2.25,0.02,622,100000.0,17.15,2.43,0.81
123,2.25,0.02,623,100000.0,17.15,2.43,0.81
124,2.25,0.02,624,100000.0,17.15,2.43,0.81
125,2.25,0.02,625,100000.0,17.15,2.43,0.81
126,2.25,0.02,626,100000.0,17.15,2.43,0.81
127,2.25,0.02,627,100000.0,17.15,2.43,0.81
128,2.25,0.02,628,100000.0,17.15,2.43,0.81
129,2.25,0.02,629,100000.0,17.15,2.43,0.81
130,2.25,0.02,630,100000.0,17.15,2.43,0.81
131,2.25,0.02,631,100000.0,17.15,2.43,0.81
132,2.25,0.02,632,100000.0,17.15,2.43,0.81
133,2.25,0.02,633,100000.0,17.15,2.43,0.81
134,2.25,0.02,634,100000.0,17.15,2.43,0.81
135,2.25,0.02,635,100000.0,17.15,2.43,0.81
136,2.25,0.02,636,100000.0,17.15,2.43,0.81
137,2.25,0.02,637,100000.0,17.15,2.43,0.81
138,2.25,0.02,638,100000.0,17.15,2.43,0.81
139,2.25,0.02,639,100000.0,17.15,2.43,0.81
140,2.25,0.02,640,100000.0,17.15,2.43,0.81
141,2.25,0.02,641,100000.0,17.15,2.43,0.81
142,2.25,0.02,642,100000.0,17.15,2.43,0.81
143,2.25,0.02,643,100000.0,17.15,2.43,0.81
144,2.25,0.02,644,100000.0,17.15,2.43,0.81
145,2.25,0.02,645,100000.0,17.15,2.43,0.81
146,2.25,0.02,646,100000.0,17.15,2.43,0.81
147,2.25,0.02,647,100000.0,17.15,2.43,0.81
148,2.25,0.02,648,100000.0,17.15,2.43,0.81
149,2.25,0.02,649,100000.0,17.15,2.43,0.81
150,2.25,0.02,650,100000.0,17.15,2.43,0.81
151,2.25,0.02,651,100000.0,17.15,2.43,0.81
152,2.25,0.02,652,100000.0,17.15,2.43,0.81
153,2.25,0.02,653,100000.0,17.15,2.43,0.81
154,2.25,0.02,654,100000.0,17.15,2.43,0.81
155,2.25,0.02,655,100000.0,17.15,2.43,0.81
156,2.25,0.02,656,100000.0,17.15,2.43,0.81
157,2.25,0.02,657,100000.0,17.15,2.43,0.81
158,2.25,0.02,658,100000.0,17.15,2.43,0.81
159,2.25,0.02,659,100000.0,17.15,2.43,0.81
160,2.25,0.02,660,100000.0,17.15,2.43,0.81
161,2.25,0.02,661,100000.0,17.15,2.43,0.81
162,2.25,0.02,662,100000.0,17.15,2.43,0.81
163,2.25,0.02,663,100000.0,17.15,2.43,0.81
164,2.25,0.02,664,100000.0,17.15,2.43,0.81
165,2.25,0.02,665,100000.0,17.15,2.43,0.81
166,2.25,0.02,666,100000.0,17.15,2.43,0.81
167,2.25,0.02,667,100000.0,17.15,2.43,0.81
168,2.25,0.02,668,100000.0,17.15,2.43,0.81
169,2.25,0.02,669,100000.0,17.15,2.43,0.81
170,2.25,0.02,670,100000.0,17.15,2.43,0.81
171,2.25,0.02,671,100000.0,17.15,2.43,0.81
172,2.25,0.02,672,100000.0,17.15,2.43,0.81
173,2.25,0.02,673,100000.0,17.15,2.43,0.81
